Month,Price,Change
1993-03,408,-
1993-04,392,-3.92%
1993-05,371,-5.36%
1993-06,356,-4.04%
1993-07,362,1.69%
1993-08,356,-1.66%
1993-09,352,-1.12%
1993-10,333,-5.40%
1993-11,357,7.21%
1993-12,411,15.13%
1994-01,404,-1.70%
1994-02,387,-4.21%
1994-03,395,2.07%
1994-04,434,9.87%
1994-05,488,12.44%
1994-06,508,4.10%
1994-07,494,-2.76%
1994-08,575,16.40%
1994-09,614,6.78%
1994-10,616,0.33%
1994-11,707,14.77%
1994-12,719,1.70%
1995-01,655,-8.90%
1995-02,661,0.92%
1995-03,687,3.93%
1995-04,625,-9.02%
1995-05,611,-2.24%
1995-06,631,3.27%
1995-07,655,3.80%
1995-08,616,-5.95%
1995-09,586,-4.87%
1995-10,615,4.95%
1995-11,607,-1.30%
1995-12,590,-2.80%
1996-01,535,-9.32%
1996-02,518,-3.18%
1996-03,519,0.19%
1996-04,562,8.29%
1996-05,552,-1.78%
1996-06,508,-7.97%
1996-07,476,-6.30%
1996-08,513,7.77%
1996-09,545,6.24%
1996-10,532,-2.39%
1996-11,550,3.38%
1996-12,561,2.00%
1997-01,567,1.07%
1997-02,580,2.29%
1997-03,559,-3.62%
1997-04,562,0.54%
1997-05,553,-1.60%
1997-06,533,-3.62%
1997-07,498,-6.57%
1997-08,504,1.20%
1997-09,525,4.17%
1997-10,547,4.19%
1997-11,556,1.65%
1997-12,566,1.80%
1998-01,621,9.72%
1998-02,659,6.12%
1998-03,671,1.82%
1998-04,688,2.53%
1998-05,705,2.47%
1998-06,633,-10.21%
1998-07,661,4.42%
1998-08,674,1.97%
1998-09,703,4.30%
1998-10,694,-1.28%
1998-11,681,-1.87%
1998-12,663,-2.64%
1999-01,632,-4.68%
1999-02,561,-11.23%
1999-03,497,-11.41%
1999-04,509,2.41%
1999-05,475,-6.68%
1999-06,392,-17.47%
1999-07,319,-18.62%
1999-08,354,10.97%
1999-09,388,9.60%
1999-10,381,-1.80%
1999-11,370,-2.89%
1999-12,354,-4.32%
2000-01,348,-1.69%
2000-02,332,-4.60%
2000-03,349,5.12%
2000-04,372,6.59%
2000-05,324,-12.90%
2000-06,315,-2.78%
2000-07,312,-0.95%
2000-08,306,-1.92%
2000-09,288,-5.88%
2000-10,255,-11.46%
2000-11,257,0.78%
2000-12,265,3.11%
2001-01,254,-4.15%
2001-02,240,-5.51%
2001-03,254,5.83%
2001-04,251,-1.18%
2001-05,234,-6.77%
2001-06,255,8.97%
2001-07,330,29.41%
2001-08,362,9.70%
2001-09,310,-14.36%
2001-10,277,-10.65%
2001-11,323,16.61%
2001-12,359.5,11.30%
2002-01,373.8,3.98%
2002-02,352.98,-5.57%
2002-03,359,1.71%
2002-04,360.07,0.30%
2002-05,384.91,6.90%
2002-06,426.13,10.71%
2002-07,422.22,-0.92%
2002-08,446.09,5.65%
2002-09,424.76,-4.78%
2002-10,427.24,0.58%
2002-11,465.02,8.84%
2002-12,488.52,5.05%
2003-01,486.11,-0.49%
2003-02,476.95,-1.88%
2003-03,453.55,-4.91%
2003-04,443.02,-2.32%
2003-05,453.82,2.44%
2003-06,466.21,2.73%
2003-07,457.72,-1.82%
2003-08,439.36,-4.01%
2003-09,440.91,0.35%
2003-10,515.07,16.82%
2003-11,548,6.39%
2003-12,539.72,-1.51%
2004-01,527.23,-2.31%
2004-02,564.13,7.00%
2004-03,583.52,3.44%
2004-04,575.05,-1.45%
2004-05,537.17,-6.59%
2004-06,471.2,-12.28%
2004-07,454.77,-3.49%
2004-08,458.14,0.74%
2004-09,468.09,2.17%
2004-10,451.26,-3.60%
2004-11,454.61,0.74%
2004-12,446.2,-1.85%
2005-01,418.86,-6.13%
2005-02,422.63,0.90%
2005-03,458.13,8.40%
2005-04,457.86,-0.06%
2005-05,450,-1.72%
2005-06,451.7,0.38%
2005-07,454.52,0.62%
2005-08,448.48,-1.33%
2005-09,453.64,1.15%
2005-10,467.5,3.06%
2005-11,466.7,-0.17%
2005-12,456.75,-2.13%
2006-01,459.05,0.50%
2006-02,473.9,3.23%
2006-03,472.52,-0.29%
2006-04,475.9,0.72%
2006-05,483.72,1.64%
2006-06,478.16,-1.15%
2006-07,499.21,4.40%
2006-08,534.26,7.02%
2006-09,511.24,-4.31%
2006-10,514.18,0.58%
2006-11,571.57,11.16%
2006-12,625.88,9.50%
2007-01,637.59,1.87%
2007-02,645.2,1.19%
2007-03,660.93,2.44%
2007-04,743.45,12.49%
2007-05,816.09,9.77%
2007-06,833.19,2.10%
2007-07,854.52,2.56%
2007-08,830.65,-2.79%
2007-09,851.63,2.53%
2007-10,926.2,8.76%
2007-11,998.57,7.81%
2007-12,"1,002.22",0.37%
2008-01,"1,122.15",11.97%
2008-02,"1,268.63",13.05%
2008-03,"1,377.22",8.56%
2008-04,"1,320.11",-4.15%
2008-05,"1,326.45",0.48%
2008-06,"1,293.21",-2.51%
2008-07,"1,213.48",-6.17%
2008-08,963.57,-20.59%
